"Povpreène meseène plaèe po kohezijskih in statistiènih regijah, Slovenija, letno"

"KOHEZIJSKA IN STATISTIÈNA REGIJA";"Povpreèna meseèna neto plaèa 2009";"Povpreèna meseèna neto plaèa 2010";"Povpreèna meseèna neto plaèa 2011";"Povpreèna meseèna neto plaèa 2012";"Povpreèna meseèna neto plaèa 2013";"Povpreèna meseèna neto plaèa 2014";"Povpreèna meseèna neto plaèa 2015";"Povpreèna meseèna neto plaèa 2016";"Povpreèna meseèna neto plaèa 2017";"Povpreèna meseèna neto plaèa 2018";"Povpreèna meseèna neto plaèa 2019"
"Vzhodna Slovenija";860.16;901.61;922.55;926.58;932.98;943.67;950.73;965.56;995.32;1025.91;1062.92
"Pomurska";826.02;873.88;883.09;891.27;897.19;911.81;922.87;939.81;969.78;1004.11;1048.19
"Podravska";871.22;904.55;917.78;920.83;924.01;929.01;938.53;955.44;986.49;1014.64;1048.52
"Koroška";834.68;884.74;913.57;920.62;931.96;943.00;956.86;980.68;1012.97;1043.88;1075.35
"Savinjska";844.84;892.80;916.61;920.72;927.71;940.51;945.25;954.44;983.33;1013.49;1042.52
"Zasavska";884.88;915.48;940.82;922.41;934.58;931.88;914.36;932.60;964.20;993.67;1032.67
"Posavska";870.75;903.70;929.80;936.70;938.05;948.60;955.44;975.68;1008.55;1036.63;1077.23
"Jugovzhodna Slovenija";902.26;950.02;980.34;989.55;999.64;1018.77;1022.58;1035.66;1058.95;1094.95;1148.94
"Primorsko-notranjska";823.16;852.50;887.86;885.11;895.93;906.93;918.08;924.82;954.62;980.28;1016.98
"Zahodna Slovenija";988.90;1020.89;1041.39;1044.85;1049.32;1055.38;1065.09;1083.17;1116.66;1147.05;1190.74
"Osrednjeslovenska";1031.42;1060.59;1081.86;1082.59;1083.75;1088.02;1099.23;1118.06;1152.68;1184.59;1231.33
"Gorenjska";899.98;940.13;960.77;974.54;992.31;1000.93;1010.83;1024.92;1060.03;1091.38;1120.37
"Goriška";907.13;950.96;967.10;963.61;969.71;979.70;984.59;1006.55;1036.65;1061.28;1100.96
"Obalno-kraška";935.38;961.04;978.75;980.18;979.33;988.00;998.39;1014.77;1042.88;1064.94;1113.87
